profile	group	matched_N	Pearson_r	Spearman_rho	OLS_slope_reconstruction_on_author	OLS_intercept	median_absolute_difference	median_signed_difference	residual_p05	residual_p95	sign_concordance_nonzero	systematic_discrepancy
TMCO1-R1	MPT	7637	0.9950684254630909	0.9923139482094163	0.9958611212929025	-0.06362121654403585	0.06485120623639484	-0.06485116291586557	-0.1735694042693596	0.03567636176240773	0.9601259181532005	slope=0.995861; intercept=-0.063621; median_shift=-0.064851
TMCO1-R2	MPT	7641	0.9949089353711338	0.9904893445350736	0.995977856450639	-0.06313663961911742	0.06711424774928698	-0.06711417757602822	-0.18259109236233148	0.050349168254987475	0.9563622067881011	slope=0.995978; intercept=-0.063137; median_shift=-0.067114
CCDC47-R1	MPT	7637	0.99471005986037	0.9901196691050488	0.9949477694526104	-0.05035303808336644	0.05304948580435487	-0.053049364687043465	-0.16852655866923236	0.058323285459570016	0.9634577603143418	slope=0.994948; intercept=-0.050353; median_shift=-0.053049
CCDC47-R2	MPT	7638	0.994863781975288	0.9915423755995891	0.99540018037643	-0.04177664387317359	0.0441998444932213	-0.044199667599117476	-0.1817034292399482	0.07998174084931413	0.9623803906147594	slope=0.995400; intercept=-0.041777; median_shift=-0.044200
Nicalin-R1	MPT	7644	0.9943546013275966	0.9914535977928357	0.9943107338832359	-0.05693829992919752	0.06278115938149659	-0.06278107686425605	-0.16313918414426998	0.0457180229880837	0.9640146558492542	slope=0.994311; intercept=-0.056938; median_shift=-0.062781
Nicalin-R2	MPT	7636	0.9938749041366386	0.9910652924880686	0.9945941710087635	-0.05745560807438743	0.06140023309413789	-0.06140015437749769	-0.18693103687327245	0.06627476875400505	0.9607021220854074	slope=0.994594; intercept=-0.057456; median_shift=-0.061400
OST48-R1	OST-A	4634	0.9927659581658428	0.9868092599912681	0.9906226208991623	-0.0941477187116353	0.12788520170480466	-0.1102010206502877	-0.36994980302092767	0.17909113332292198	0.9393350604490501	slope=0.990623; intercept=-0.094148; median_shift=-0.110201
OST48-R2	OST-A	4634	0.9889397684049896	0.9846062280583564	0.9873782011404274	-0.10203931664384269	0.14493629234340533	-0.11867327477044362	-0.42042229133983533	0.227597153919266	0.9335203971508742	slope=0.987378; intercept=-0.102039; median_shift=-0.118673
RPN2-R1	OST-A	4637	0.9920394898709602	0.9876765006901961	0.9868416035605738	-0.10186686655635846	0.13464655983019957	-0.12212367500339147	-0.37567174565981654	0.15809268605513122	0.9352890422778257	slope=0.986842; intercept=-0.101867; median_shift=-0.122124
