profile	complex	aggregation	background_genes	CYTONUC_source_rows	IP_run	B_IP	IP_positive_background_genes	Input_run	B_Input	Input_positive_background_genes	expected_log2_shift
TMCO1_rep1	MPT	sum_gene_TPM	12295	12463	SRR33621383	430551.60870015295	8815	SRR33621384	626876.43126537139	9339	0.5419949109017953
TMCO1_rep2	MPT	sum_gene_TPM	12295	12463	SRR33621381	423831.97235498053	8423	SRR33621382	634775.14652901539	9169	0.58275321964349747
CCDC47_rep1	MPT	sum_gene_TPM	12295	12463	SRR33621379	436512.79092560656	8513	SRR33621380	621188.10895099654	9284	0.50900628422566496
CCDC47_rep2	MPT	sum_gene_TPM	12295	12463	SRR33621377	448602.45260942163	8214	SRR33621378	619712.04617958621	9233	0.46616050421254768
Nicalin_rep1	MPT	sum_gene_TPM	12295	12463	SRR33621375	469054.12084161455	8761	SRR33621376	700820.35245270783	9321	0.57929027797323474
Nicalin_rep2	MPT	sum_gene_TPM	12295	12463	SRR33621373	456760.86212112149	8560	SRR33621374	586713.22599178716	9228	0.361216476703282
OST48_rep1	OST-A	sum_gene_TPM	12295	12463	SRR33621389	361595.14898161619	7479	SRR33621390	679165.0196284476	8861	0.90938683159141609
OST48_rep2	OST-A	sum_gene_TPM	12295	12463	SRR33621387	346080.17094453308	6450	SRR33621388	634176.15535211063	8710	0.87377735095776354
RPN2_rep1	OST-A	sum_gene_TPM	12295	12463	SRR33621385	390814.44131555979	7498	SRR33621386	596553.51818306383	8726	0.61016779266625387
