attribute	source_column	included_total_N	excluded_total_N	included_finite_N	included_missing_N	included_mean	included_SD_sample	included_Q1	included_median	included_Q3	included_IQR_width	excluded_finite_N	excluded_missing_N	excluded_mean	excluded_SD_sample	excluded_Q1	excluded_median	excluded_Q3	excluded_IQR_width	SMD_included_minus_excluded	SMD_denominator_rule
frozen_evolutionary_score	POST30_90_4D_EXCESS_CONSERVATION_Z_MEDIAN	2796	2742	2796	0	0.02289274749484739	0.6622418788870148	-0.40866682372986607	0.0563207098239484	0.47881201679265023	0.8874788405225162	2742	0	0.03237635887022982	0.6399511913718429	-0.3688091029981645	0.0802900732466642	0.47243956450747465	0.8412486675056392	-0.014563465981857185	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
median_window_aa_identity	median_window_aa_identity	2796	2742	2796	0	0.922767302235043	0.08405936646697555	0.8852459016393442	0.9508196721311476	0.9836065573770492	0.09836065573770492	2742	0	0.8789175066661884	0.10380061837966359	0.8360655737704918	0.9016393442622952	0.9508196721311476	0.11475409836065575	0.4642784293120696	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
human_window_GC3	human_window_GC3	2796	2742	2796	0	0.6426804099533291	0.19901813843895216	0.4754098360655737	0.6721311475409836	0.819672131147541	0.3442622950819673	2742	0	0.6591933613133886	0.1804439574947433	0.5245901639344263	0.6721311475409836	0.8032786885245902	0.2786885245901639	-0.08692939133219965	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
human_window_CpG_density	human_window_CpG_density	2796	2742	2796	0	0.03374718986306963	0.027278330429452397	0.0109890109890109	0.0274725274725274	0.0494505494505494	0.0384615384615385	2742	0	0.03339585287068869	0.02979142138763615	0.0109890109890109	0.0274725274725274	0.0439560439560439	0.032967032967032996	0.012300626293536964	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
TMD_length_aa	p5_length_aa	2796	2742	2796	0	20.36552217453505	3.400748961895555	19.0	21.0	22.0	3.0	2742	0	21.12035010940919	3.144593088584678	21.0	21.0	23.0	2.0	-0.23046940766760698	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
TMD_hydropathy	TMD_mean_Kyte_Doolittle_hydropathy	2796	2742	2796	0	1.7755073812391913	0.4991597080761835	1.4606521739130434	1.7735087719298246	2.1142857142857143	0.653633540372671	2742	0	1.762609877839771	0.4750206213156213	1.4652173913043476	1.7562608695652173	2.0893749999999995	0.624157608695652	0.026470552419498805	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
TMD_index	p5_tmd_index	2796	2742	2796	0	5.314377682403434	3.349987959136099	3.0	5.0	7.0	4.0	2742	0	5.071480671043035	3.3197577629546102	3.0	4.0	6.0	3.0	0.07283471562656775	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
downstream_nonTMD_segment_length_aa	downstream_nonTMD_segment_length_aa	2796	2742	2796	0	62.552575107296136	106.04437467140225	16.0	23.0	52.0	36.0	2742	0	51.648431801604666	91.57280918919497	17.0	23.0	39.0	22.0	0.11006150848585776	continuous/ordinal: sqrt((sample_var_I+sample_var_E)/2)
downstream_lumenal_indicator	downstream_segment_lumenal_indicator	2796	2742	2796	0	0.41487839771101576	0.49278916981542736	0.0	0.0	1.0	1.0	2742	0	0.4536834427425237	0.4979409618314668	0.0	0.0	1.0	1.0	-0.07834934941587549	binary: sqrt((p_I*(1-p_I)+p_E*(1-p_E))/2)
